Shape_ID,Center_X,Center_Y,Area_Pixels
1,826,922,40.0
2,1006,920,4033.0
3,1107,882,151.5
4,1036,866,230.5
5,949,862,129.5
6,970,860,212.0
7,990,858,323.0
8,1203,848,1676.5
9,1252,841,3251.0
10,1057,814,105.5
11,892,829,1520.0
12,864,798,121.0
13,1328,778,33.0
14,1246,779,2601.0
15,992,737,305.0
16,1082,740,5967.0
17,1124,687,48.0
18,1240,692,2465.5
19,851,664,33.0
20,779,661,91.5
21,1218,658,1437.0
22,921,645,455.0
23,825,630,173.5
24,766,625,33.0
25,802,607,40.0
26,1299,596,86.5
27,882,590,223.0
28,870,578,344.5
29,854,560,192.5
30,979,551,1557.0
31,1242,520,2914.0
32,1336,527,6593.5
33,774,449,294.0
34,1201,436,3810.5
35,742,359,93.0
36,1189,367,2957.0
37,955,332,2000.5
38,853,334,2290.0
39,1189,281,693.0
40,1022,204,176.0
41,778,159,202.0
42,859,191,6821.5
